Time Phase,Cycle Time,Current_J0,Current_J1,Current_J2,Current_J3,Current_J4,Current_J5,Current_Direction_J0,Current_Direction_J1,Current_Direction_J2,Current_Direction_J3,Current_Direction_J4,Current_Direction_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Speed_Direction_J0,Speed_Direction_J1,Speed_Direction_J2,Speed_Direction_J3,Speed_Direction_J4,Speed_Direction_J5,Temperature_T0,Temperature_J1,Temperature_J2,Temperature_J3,Temperature_J4,Temperature_J5,Average Temperature,Gradient Temperature,Load Imbalance,Robot Protective Stop,Grip Lost,Tool Current
2.1700987586984493,39,0.109627604484558,2.02466869354248,1.5314415693283,0.998570203781127,0.0625398382544517,0.152622118592262,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.295565098524093,0.0004897554754279,0.001310194376856,0.132835566997528,0.0074785286560654,0.152962237596511,1.0,-1.0,1.0,-1.0,-1.0,-1.0,27.875,29.375,29.375,32.125,32.25,32.0,30.5,4.375,2.412715533492924,0.0,0,0.0827318429946899
2.170171480750616,39,0.595605194568634,2.27845644950866,0.866556406021118,0.206096932291984,1.0627623796463,0.260763853788375,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.39148515616262e-30,0.0003036502166651,0.002185137476772,0.0016682271379977,0.0007668273174203,0.0004169016028754,-1.0,-1.0,1.0,1.0,-1.0,1.0,27.875,29.3125,29.4375,32.1875,32.25,32.0,30.510416666666668,4.375,2.3593146108689926,0.0,0,0.50589495897293
2.170244202802783,39,0.229473799467086,2.80040836334228,2.3043360710144,0.351499497890472,0.668869018554687,0.0390712767839431,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.136938601732254,0.0077946223318576,0.002185137476772,0.379866957664489,0.0004545622214209,0.496855854988098,1.0,1.0,1.0,1.0,1.0,-1.0,27.875,29.3125,29.4375,32.125,32.3125,32.0625,30.52083333333333,4.4375,2.591321345190398,0.0,0,0.0794200301170349
2.170316924854948,39,0.065053179860115,3.68776774406433,1.2176524400711,1.20911467075347,0.81975507736206,0.153902933001518,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0903003215789794,0.0049113673157989,0.0090960143133997,0.384196132421493,0.0184108391404151,0.425559103488922,-1.0,-1.0,-1.0,-1.0,1.0,1.0,27.875,29.3125,29.4375,32.125,32.25,32.0,30.5,4.375,3.0386606651223,0.0,0,0.0833253860473632
2.1703896469071147,39,0.884140253067016,2.93883037567138,1.79407620429992,1.20911467075347,0.966426730155944,0.178997665643692,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.126808792352676,0.0055669420398771,0.0011383451055735,0.353284031152725,0.014993798919022,0.180988609790802,1.0,1.0,1.0,-1.0,1.0,1.0,27.875,29.375,29.4375,32.1875,32.3125,32.0,30.53125,4.4375,2.07725243994609,0.0,0,0.0863787531852722
2.170462368959281,39,0.118960559368133,2.16254186630249,1.21177947521209,0.481833845376968,0.0153181906789541,0.0648444592952728,1.0,-1.0,-1.0,-1.0,1.0,1.0,4.63951073470525e-05,9.26570428418926e-05,0.0002624108165036,0.0021707837004214,0.000264706701273,0.0024701610673218,-1.0,1.0,1.0,1.0,1.0,-1.0,27.8125,29.375,29.4375,32.1875,32.3125,32.0625,30.53125,4.5,3.176931592589508,0.0,0,0.188309669494628
2.1705350910114483,39,0.0861379131674766,1.7576470375061,0.960633754730224,0.488379955291748,0.0065057296305894,0.0532493405044078,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.12103877145985e-44,0.0,0.0,0.0,0.0,0.0,1.0,27.875,29.375,29.4375,32.1875,32.3125,32.0625,30.541666666666668,4.4375,3.1339834319822057,0.0,0,0.0851918458938598
2.170607813063615,39,0.0756569951772689,1.83646476268768,0.961322426795959,0.512540757656097,0.0218445193022489,0.0392284430563449,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.875,29.375,29.4375,32.1875,32.3125,32.0625,30.541666666666668,4.4375,3.1585548492076243,0.0,0,0.0870583653450012
2.170680535115782,39,0.186848357319831,2.56373834609985,1.41893362998962,0.262015104293823,0.0999419391155242,0.173527032136917,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.166003569960594,0.0024086537305265,0.0154825886711478,0.350063204765319,0.0099855409935116,0.192710176110267,-1.0,1.0,-1.0,1.0,-1.0,-1.0,27.875,29.375,29.4375,32.1875,32.3125,32.0625,30.541666666666668,4.4375,3.14192658645935,0.0,0,0.0857853293418884
2.170753257167947,39,0.158912256360054,1.75077736377716,1.97940039634704,0.184549927711486,0.0791570618748664,0.209540769457817,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0983230397105217,0.0049957507289946,0.016995683312416,0.496241122484207,0.0173527542501688,0.588686048984527,1.0,1.0,-1.0,1.0,-1.0,-1.0,27.875,29.375,29.4375,32.1875,32.3125,32.0625,30.541666666666668,4.4375,2.6136123779300755,0.0,0,0.0850195884704589
