Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool Current,Robot Protective Stop,Grip Lost,Time Phase,Cycle Time,Average Temperature,Gradient Temperature,Speed_Direction_J0,Current_Direction_J0,Speed_Direction_J1,Current_Direction_J1,Speed_Direction_J2,Current_Direction_J2,Speed_Direction_J3,Current_Direction_J3,Speed_Direction_J4,Current_Direction_J4,Speed_Direction_J5,Current_Direction_J5,Load Imbalance
0.109627604484558,27.875,2.02466869354248,29.375,1.5314415693283,29.375,0.998570203781127,32.125,0.0625398382544517,32.25,0.152622118592262,32.0,0.295565098524093,0.0004897554754279,0.001310194376856,0.132835566997528,0.0074785286560654,0.152962237596511,0.0827318429946899,0.0,0,2.1700987586984493,39,30.5,4.375,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.412715533492924
0.595605194568634,27.875,2.27845644950866,29.3125,0.866556406021118,29.4375,0.206096932291984,32.1875,1.0627623796463,32.25,0.260763853788375,32.0,7.39148515616262e-30,0.0003036502166651,0.002185137476772,0.0016682271379977,0.0007668273174203,0.0004169016028754,0.50589495897293,0.0,0,2.170171480750616,39,30.510416666666668,4.375,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2.3593146108689926
0.229473799467086,27.875,2.80040836334228,29.3125,2.3043360710144,29.4375,0.351499497890472,32.125,0.668869018554687,32.3125,0.0390712767839431,32.0625,0.136938601732254,0.0077946223318576,0.002185137476772,0.379866957664489,0.0004545622214209,0.496855854988098,0.0794200301170349,0.0,0,2.170244202802783,39,30.520833333333332,4.4375,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,2.591321345190398
0.065053179860115,27.875,3.68776774406433,29.3125,1.2176524400711,29.4375,1.20911467075347,32.125,0.81975507736206,32.25,0.153902933001518,32.0,0.0903003215789794,0.0049113673157989,0.0090960143133997,0.384196132421493,0.0184108391404151,0.425559103488922,0.0833253860473632,0.0,0,2.170316924854948,39,30.5,4.375,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,3.0386606651222996
0.884140253067016,27.875,2.93883037567138,29.375,1.79407620429992,29.4375,1.20911467075347,32.1875,0.966426730155944,32.3125,0.178997665643692,32.0,0.126808792352676,0.0055669420398771,0.0011383451055735,0.353284031152725,0.014993798919022,0.180988609790802,0.0863787531852722,0.0,0,2.1703896469071147,39,30.53125,4.4375,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2.07725243994609
0.118960559368133,27.8125,2.16254186630249,29.375,1.21177947521209,29.4375,0.481833845376968,32.1875,0.0153181906789541,32.3125,0.0648444592952728,32.0625,4.63951073470525e-05,9.26570428418926e-05,0.0002624108165036,0.0021707837004214,0.000264706701273,0.0024701610673218,0.188309669494628,0.0,0,2.1704623689592815,39,30.53125,4.5,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,3.176931592589508
0.0861379131674766,27.875,1.7576470375061,29.375,0.960633754730224,29.4375,0.488379955291748,32.1875,0.0065057296305894,32.3125,0.0532493405044078,32.0625,0.0,0.0,0.0,0.0,0.0,1.12103877145985e-44,0.0851918458938598,0.0,0,2.1705350910114483,39,30.541666666666668,4.4375,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,3.1339834319822057
0.0756569951772689,27.875,1.83646476268768,29.375,0.961322426795959,29.4375,0.512540757656097,32.1875,0.0218445193022489,32.3125,0.0392284430563449,32.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0870583653450012,0.0,0,2.170607813063615,39,30.541666666666668,4.4375,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,3.1585548492076243
0.186848357319831,27.875,2.56373834609985,29.375,1.41893362998962,29.4375,0.262015104293823,32.1875,0.0999419391155242,32.3125,0.173527032136917,32.0625,0.166003569960594,0.0024086537305265,0.0154825886711478,0.350063204765319,0.0099855409935116,0.192710176110267,0.0857853293418884,0.0,0,2.170680535115782,39,30.541666666666668,4.4375,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,3.1419265864593506
0.158912256360054,27.875,1.75077736377716,29.375,1.97940039634704,29.4375,0.184549927711486,32.1875,0.0791570618748664,32.3125,0.209540769457817,32.0625,0.0983230397105217,0.0049957507289946,0.016995683312416,0.496241122484207,0.0173527542501688,0.588686048984527,0.0850195884704589,0.0,0,2.170753257167947,39,30.541666666666668,4.4375,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.6136123779300755
